1941;1941 - Counter Attack (900227 World);a
1942;1942 (Revision B);a
1943;1943: The Battle of Midway (Euro);a
1941j;1941 - Counter Attack (Japan);a
1941r1;1941 - Counter Attack (World);a
1941u;1941 - Counter Attack (900227 USA);a
1942a;1942 (Revision A);a
1942abl;1942 (Revision A, bootleg) [Bootleg];a
1942b;1942 (First Version);a
1942c64;1942 (C64 Music);a
1942h;42 (Screamware bootleg, hack);a
1942w;1942 (Williams Electronics license);a
1943b;1943: The Battle of Midway (bootleg set 1, hack of Japan set) [Bootleg];a
1943b2;1943: The Battle of Midway (bootleg set 2, hack of Japan set) [Bootleg];a
1943bj;1943: Midway Kaisen (bootleg) [Bootleg];a
1943j;1943: Midway Kaisen (Japan, Rev B);a
1943ja;1943: Midway Kaisen (Japan);a
1943ja2;1943: The Battle of Midway (hack of Japan set);a
1943kai;1943 Kai: Midway Kaisen (Japan);a
1943mii;1943: The Battle of Midway Mark II (US);a
1943u;1943: The Battle of Midway (US);a
1943ua;1943: The Battle of Midway (US, Rev C);a
1945kiii;1945k III;a
1945kiiio;1945k III (older, OPCX1 PCB);a
19xx;19XX - the war against destiny (951207 USA);a
19xxa;19XX - the war against destiny (960104 Asia);a
19xxar1;19XX - the war against destiny (951207 Asia);a
19xxb;19XX - the war against destiny (951218 Brazil);a
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];a
19xxh;19XX - the war against destiny (951218 Hispanic);a
19xxj;19XX - the war against destiny (960104 Japan, yellow case);a
19xxjr1;19XX - the war against destiny (951225 Japan);a
19xxjr2;19XX - the war against destiny (951207 Japan);a
4in1;4 Fun in 1 [Bootleg];a
800fath;800 Fathoms;a
8ballact;Eight Ball Action (DK conversion) [Parent set for working drivers];a
8bpm;Eight Ball Action (Pac-Man conversion);a
99lstwar;99: The Last War;a
99lstwara;99: The Last War (alternate);a
99lstwark;99: The Last War (Kyugo);a
abscam;Abscam;a
aceattac;Ace Attacker (FD1094 317-0059);a
aceattaca;Ace Attacker (Japan, System 16A, FD1094 317-0060);a
acitya;Atlantic City Action;a
acrobatm;Acrobat Mission;a
ad2083;A.D. 2083 [Incomplete Sound];a
aerofgt;Aero Fighters;a
aerofgtb;Aero Fighters (Turbo Force hardware set 1);a
aerofgtc;Aero Fighters (Turbo Force hardware set 2);a
afighter;Action Fighter, FD1089A 317-0018;a
agallet;Air Gallet (Europe);a
agalleta;Air Gallet (older, Europe);a
agalletah;Air Gallet (older, Hong Kong);a
agalletaj;Akuu Gallet (older, Japan);a
agalletak;Air Gallet (older, Korea);a
agalletat;Air Gallet (older, Taiwan);a
agalletau;Air Gallet (older, USA);a
agalleth;Air Gallet (Hong Kong);a
agalletj;Air Gallet (Japan);a
agalletk;Air Gallet (Korea);a
agallett;Air Gallet (Taiwan);a
agalletu;Air Gallet (USA);a
airass;Air Assault (World);a
airattck;Air Attack (set 1);a
airattcka;Air Attack (set 2);a
airduel;Air Duel (World, M82-A-A + M82-B-A);a
airduelm72;Air Duel (Japan, M72);a
ajax;Ajax;a
ajaxj;Ajax (Japan);a
alcon;Alcon (US);a
alibaba;Ali Baba and 40 Thieves;a
alibabab;Mustafa and 40 Thieves (bootleg);a
alinvade;Alien Invaders [preliminary sound];a
alphamis;Alpha Mission;a
alphaxz;The Alphax Z (Japan);a
amatelas;Sei Senshi Amatelass;a
amazon;Soldier Girl Amazon;a
amidar;Amidar;a
amidar1;Amidar (older);a
amidarb;Amidar (bootleg) [Bootleg];a
amidaro;Amidar (Olympia);a
amidars;Amidar (Scramble hardware);a
amidaru;Amidar (Stern);a
amigo;Amigo [Bootleg];a
androidp;Android (prototype, later build);a
androidpo;Android (prototype, early build);a
angelkds;Angel Kids (Japan);a
anteater;Anteater;a
anteaterg;Ameisenbaer (German);a
anteateruk;The Anteater (UK);a
aponow;Apocaljpse Now [Bootleg];a
arabian;Arabian;a
arabiana;Arabian (Atari);a
aracnis;Aracnis (bootleg of Scorpion on Moon Cresta hardware) [Bootleg];a
arbalest;Arbalester [Imperfect inputs];a
arcadian;Arcadia (NMK);a
arian;Arian Mission<;a
ark1ball;Arkanoid (bootleg with MCU, harder) [Bootleg];a
ark1balla;Arkanoid (bootleg with MCU, harder, alt) [Bootleg];a
arkangc;Arkanoid (Game Corporation bootleg, set 1) [Bootleg];a
arkangc2;Arkanoid (Game Corporation bootleg, set 2) [Bootleg];a
arkanoid;Arkanoid (World, oldest rev);a
arkanoidj;Arkanoid (Japan);a
arkanoidja;Arkanoid (Japan, older rev);a
arkanoidjb;Arkanoid (Japan, oldest rev);a
arkanoidjbl;Arkanoid (bootleg with MCU set 1) [Bootleg];a
arkanoidjbl2;Arkanoid (bootleg with MCU set 2) [Bootleg];a
arkanoidjbla;Arkanoid (bootleg with MCU, alt) [Bootleg];a
arkanoidu;Arkanoid (US);a
arkanoiduo;Arkanoid (US, oldest rev);a
arkatayt;Arkanoid (Tayto bootleg) [Bootleg];a
arkatour;Tournament Arkanoid (US);a
arkbloc2;Block (Game Corporation bootleg, set 2) [Bootleg];a
arkblock;Block (Game Corporation bootleg, set 1) [Bootleg];a
arkgcbl;Arkanoid (bootleg on Block hardware) [Bootleg];a
arknoid2;Arkanoid - Revenge of DOH (World);a
arknoid2b;Arkanoid - Revenge of DOH (Japan bootleg);a
arknoid2j;Arkanoid - Revenge of DOH (Japan);a
arknoid2u;Arkanoid - Revenge of DOH (US);a
arktayt2;Arkanoid (Tayto bootleg, harder) [Bootleg];a
armedf;Armed Formation;a
armedff;Armed Formation (Fillmore license);a
armorcar;Armored Car (set 1);a
armorcar2;Armored Car (set 2);a
ashura;Ashura Blaster (World);a
ashuraj;Ashura Blaster (Japan);a
ashurau;Ashura Blaster (US);a
asideral;Ataque Sideral (Spanish bootleg of UniWar S) [Bootleg];a
aso;ASO - Armored Scrum Object;a
astrians;Astrians (clone of Swarm) [Bootleg];a
asuka;Asuka & Asuka (World);a
asukaj;Asuka & Asuka (Japan);a
atlantis;Battle of Atlantis (set 1);a
atlantis2;Battle of Atlantis (set 2);a
atlantisb;Battle of Atlantis (bootleg) [Bootleg];a
avefenix;Ave Fenix (Electrogame, Spanish bootleg of Phoenix);a
avefenixl;Ave Fenix (Laguna, Spanish bootleg of Phoenix);a
avefenixrf;Ave Fenix (Recreativos Franco, Spanish bootleg of Phoe;a
avengers;Avengers (US set 1);a
avengers2;Avengers (US set 2);a
azurian;Azurian Attack;a
bagman;Bagman [Parent set for working drivers];a
bagmanm2;Bagman (bootleg on Moon Cresta hardware set 2) [Bootleg, Bad Colours];a
bakubrkr;Bakuretsu Breaker;a
bang;Bang!;a
bangj;Gun Gabacho (Japan);a
batman2;Batman Part 2 [Bootleg];a
batrider;Armed Police Batrider (Europe) (Fri Feb 13 1998);a
batriderc;Armed Police Batrider (China) (Fri Feb 13 1998);a
batriderhk;>Armed Police Batrider - A Version (Hong Kong) (Mon Dec 22 1997);a
batriderj;Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998);a
batriderja;Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997);a
batriderk;Armed Police Batrider (Korea) (Fri Feb 13 1998);a
batridert;Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997);a
batrideru;Armed Police Batrider (U.S.A.) (Fri Feb 13 1998);a
batsugun;Batsugun (set 1);a
batsuguna;Batsugun (set 2);a
batsugunb;Batsugun (Korean PCB);a
batsugunsp;Batsugun (Special Ver.);a
battlane;Battle Lane! Vol. 5 (set 1);a
battlane2;Battle Lane! Vol. 5 (set 2);a
battlane3;Battle Lane! Vol. 5 (set 3);a
battlnts;Battlantis (program code G);a
battlntsa;Battlantis (program code F);a
battlntsj;Battlantis (Japan, program code E);a
battroad;The Battle-Road;a
bbakraid;Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8 1999);a
bbakraidc;Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999);a
bbakraidj;Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999);a
bbakraidja;Battle Bakraid (Japan) (Wed Apr 7 1999);a
bcruzm12;Battle Cruiser M-12;a
beastfp;Beastie Feastie;a
bermudat;Bermuda Triangle (World?);a
bermudata;Bermuda Triangle (World Wars) (US);a
bermudatj;Bermuda Triangle (Japan);a
bgaregga;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);a
bgareggabl;1945 Part 2 (Chinese hack of Battle Garaga) [Hack];a
bgareggabla;Lei Shen Zhuan Thunder Deity Biography (Chinese hack of Battle Garegga) [Hack];a
bgareggacn;Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996);a
bgareggahk;Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996);a
bgaregganv;Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996);a
bgareggat2;Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996);a
bgareggatw;Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996);a
bgareggaz;Battle Garegga Zakk version (Europe / USA / Japan / Asia) (Sat Feb 3 1996);a
bigbang;Big Bang (9th Nov. 1993);a
bigbucks;Big Bucks;a
bikkuric;Bikkuri Card (Japan);a
billiard;The Billiards [Bootleg];a
birdiy;Birdiy;a
birdtry;Birdie Try (Japan);a
bjtwin;Bombjack Twin (set 1);a
bjtwina;Bombjack Twin (set 2);a
bladestl;Blades of Steel (version T);a
bladestle;Blades of Steel (version E);a
bladestll;Blades of Steel (version L);a
blkbustr;BlockBuster;a
blkhole;Black Hole;a
block;Block Block (World 910910);a
blockbl;Block Block (bootleg) [Bootleg];a
blockcar;Block Carnival / Thunder & Lightning 2;a
blockgal;Block Gal (MC-8123B, 317-0029);a
blockj;Block Block (Japan 910910);a
blockr1;Block Block (World 911106 Joystick);a
blockr2;Block Block (World 910910);a
blswhstl;Bells & Whistles (World, version L);a
blswhstla;Bells & Whistles (Asia, version M);a
bluehawk;Blue Hawk;a
bluehawkn;Blue Hawk (NTC);a
blueprnt;Blue Print (Midway);a
blueprntj;Blue Print (Jaleco);a
bnj;Bump 'n' Jump;a
boggy84;Boggy '84;a
boggy84b;Boggy '84 (bootleg);a
bombbee;Bomb Bee;a
bomber;Bomber (bootleg of Scramble) [Bootleg];a
bombjack;Bomb Jack (set 1);a
bombjack2;Bomb Jack (set 2);a
bombjackt;Bomb Jack (Tecfri, Spain);a
bongo;Bongo;a
boobhack;Booby Kids (Italian manufactured graphic hack / bootleg of Kid no Hore Hore Daisakusen (bootleg)) [Bootleg];a
bowlrama;Bowl-O-Rama [needs analog inputs hooked up];a
brix;Brix;a
brubber;Burnin' Rubber;a
btime;Burger Time (Data East set 1);a
btime2;Burger Time (Data East set 2);a
btime3;Burger Time (Data East USA);a
btimem;Burger Time (Midway);a
bucaner;Buccaneer;a
buraiken;Hissatsu Buraiken (Japan);a
buzzard;Buzzard;a
bwcasino;Boardwalk Casino;a
calibr50;Caliber 50 [No sound, imperfect inputs];a
calipso;Calipso;a
cannonbp;Cannon Ball (Pacman Hardware) [wrong colors];a
capbowl;Capcom Bowling (set 1) [needs analog inputs hooked up];a
capbowl2;Capcom Bowling (set 2) [needs analog inputs hooked up];a
capbowl3;Capcom Bowling (set 3) [needs analog inputs hooked up];a
capbowl4;Capcom Bowling (set 4) [needs analog inputs hooked up];a
capitol;Capitol;a
catacomb;Catacomb [Bad Colours];a
cavelon;Cavelon;a
cencourt;Center Court (World, 4 Players, prototype, MC-8123B);a
centiped;Centipede (revision 4);a
centiped3;Centipede (revision 3);a
chanbara;Chanbara;a
checkman;Check Man;a
checkmanj;Check Man (Japan);a
cheekyms;Cheeky Mouse;a
chewing;Chewing Gum;a
chkun;Chance Kun (Japan);a
chopper;Chopper I (US set 1);a
choppera;Chopper I (US set 2);a
chopperb;Chopper I (US set 3);a
chqflag;Chequered Flag;a
chqflagj;Chequered Flag (Japan);a
circusc;Circus Charlie (level select, set 1);a
circusc2;Circus Charlie (level select, set 2);a
circusc3;Circus Charlie (level select, set 3);a
circusc4;Circus Charlie (no level select);a
circuscc;Circus Charlie (Centuri);a
circusce;Circus Charlie (Centuri, earlier);a
citybomb;City Bomber (World);a
citybombj;City Bomber (Japan);a
ckong;Crazy Kong Part II (set 1) [Parent set for working drivers];a
ckongg;Crazy Kong (bootleg on Galaxian hardware) [Bootleg];a
ckongmc;Crazy Kong (bootleg on Moon Cresta hardware) [Bootleg];a
ckongs;Crazy Kong (Scramble hardware) [Bootleg];a
clbowl;Coors Light Bowling [needs analog inputs hooked up];a
combh;Combat Hawk;a
commando;Commando (World);a
commandob;Commando (bootleg) [Bootleg];a
commandob2;Commando (bootleg 2) [Bootleg];a
commandoj;Senjou no Ookami;a
commandou;Commando (US, set 1);a
commandou2;Commando (US, set 2);a
commsega;Commando (Sega);a
condor;Condor (Sidam bootleg of Phoenix);a
condorn;Condor (S C Novar bootleg of Phoenix);a
congo;Congo Bongo;a
congoa;Congo Bongo (Rev C, 3 board stack);a
contra;Contra (US / Asia, set 1);a
contra1;Contra (US / Asia, set 2);a
contrab;Contra (bootleg) [Bootleg];a
contrabj;Contra (Japan bootleg, set 1) [Bootleg];a
contrabj1;Contra (Japan bootleg, set 2) [Bootleg];a
contrae;Contra (US / Asia, set 3);a
contraj;Contra (Japan, set 1);a
contraj1;Contra (Japan, set 2);a
cottong;Cotocoto Cottong;a
crazyblk;Crazy Blocks;a
crazycop;Crazy Cop (Japan);a
crockman;Crock-Man (bootleg, Rene-Pierre) [Bootleg];a
crshrace;Lethal Crash Race (set 1);a
crshrace2;Lethal Crash Race (set 2);a
crush;Crush Roller (Kural Samno);a
crush2;Crush Roller (Kural Esco - bootleg?);a
crush4;Crush Roller (Kural TWT);a
crush5;Crush Roller (Kural TWT);a
crushbl;Crush Roller (bootleg set 1);a
crushbl2;Crush Roller (bootleg set 2) [Bootleg];a
crushbl3;Crush Roller (bootleg set 3) [Bootleg];a
crushs;Crush Roller (Sidam bootleg);a
ctrpllrp;Caterpillar Pacman Hack;a
cutieq;Cutie Q;a
cybattlr;Cybattler;a
cyvern;Cyvern (US);a
cyvernj;Cyvern (Japan);a
daioh;Daioh;a
daioha;Daioh (earlier);a
daiohc;Daioh (93111A PCB conversion);a
daiohp;Daioh (prototype) [Prototype];a
daisenpu;Daisenpu (Japan);a
dambustr;Dambusters (US, set 1);a
dambustra;Dambusters (US, set 2);a
dambustruk;Dambusters (UK);a
dangar;Ufo Robo Dangar (4/07/1987);a
dangara;Ufo Robo Dangar (12/1/1986);a
dangarb;Ufo Robo Dangar (9/26/1986);a
darkmist;The Lost Castle In Darkmist;a
darktowr;Dark Tower;a
darwin;Darwin 4078 (Japan);a
ddaydoo;Chulgyeok D-Day (Korea);a
ddonpach;DoDonPachi (International, master ver. 97/02/05);a
ddonpacha;DoDonPachi (Arrange Mode version 1.1, hack by Trap15) [Hack];a
ddonpachj;DoDonPachi (Japan, master ver. 97/02/05);a
ddp2;Bee Storm - DoDonPachi II (V102, World);a
ddp2100;Bee Storm - DoDonPachi II (V100, World);a
ddp2100c;Bee Storm - DoDonPachi II (V100, China);a
ddp2100hk;Bee Storm - DoDonPachi II (V100, Hong Kong);a
ddp2100j;Bee Storm - DoDonPachi II (V100, Japan);a
ddp2100k;Bee Storm - DoDonPachi II (V100, Korea);a
ddp2100t;Bee Storm - DoDonPachi II (V100, Taiwan);a
ddp2101;Bee Storm - DoDonPachi II (V101, World);a
ddp2101c;Bee Storm - DoDonPachi II (V101, China);a
ddp2101hk;Bee Storm - DoDonPachi II (V101, Hong Kong);a
ddp2101j;Bee Storm - DoDonPachi II (V101, Japan);a
ddp2101k;Bee Storm - DoDonPachi II (V101, Korea);a
