720b;720 Degrees (set 2);
ark2jp;Arkanoid - Revenge of DOH (Japan);a
ark2us;Arkanoid - Revenge of DOH (US);a
arkanoi2;Arkanoid - Revenge of DOH (World);a
bermudaj;Bermuda Triangle (Japan);
bullfgtj;The Tougyuu (Japan);
cabal2;Cabal (US set 2);
cameltru;Camel Try (US);
canbprot;Canyon Bomber (prototype);
destderb;Demolition Derby;
destderm;Demolition Derby (2-Player Mono Board Version);
digdug2a;Dig Dug II (set 2);a
dkjrbl;Donkey Kong Junior (bootleg?);a
dkjrjp;Donkey Kong Junior (Japan);a
dkngjrjp;Donkey Kong Jr. (Original Japanese);a
dkongjpo;Donkey Kong (Japan set 2);a
flicky2;Flicky (set 2);
galaga84;Galaga '84;
galagab2;Galaga (bootleg);a
galagads;Galaga (fast shoot);a
galaxb;Galaxian (bootleg);a
gauntir1;Gauntlet (Intermediate Release 1);
gauntir2;Gauntlet (Intermediate Release 2);
ghoulsj;Dai Makai-Mura (Japan);
gunsmrom;Gun.Smoke (US set 1);
hcastlea;Haunted Castle (set 2);
lastmiss;Last Mission (US revision 6);
lastmss2;Last Mission (US revision 5);
mainevt2;The Main Event (version F);
mappyjp;Mappy (Japan);a
marblea;Marble Madness (set 3);
monwar2a;Moon War II (set 2);a
moonwar2;Moon War II (set 1);a
mranger;Moon Ranger;
mrvikinj;Mister Viking (Japan);
mspacatk;Ms. Pac-Man Plus;a
myheroj;Seishun Scandal (Japan);
neogeo;Neo Geo BIOS;
npacmod;PuckMan (harder?);a
outzonep;Out Zone (bootleg);
pacmanjp;PuckMan (Japan set 2);a
pacmanm;Pac-Man (Midway);a
panica;Space Panic (set 2);a
poleps2c;Pole Position II (Atari bootleg 2);
popeye2;Popeye (set 2);
puzbobb;Puzzle Bobble (Japan, B-System);
qwakprot;Qwak (prototype);
sf2a;Street Fighter II - The World Warrior (US 910206);
sf2b;Street Fighter II - The World Warrior (US 910214);
sf2cea;Street Fighter II' - Champion Edition (US rev A);
sf2ceb;Street Fighter II' - Champion Edition (US rev B);
sf2e;Street Fighter II - The World Warrior (US 910228);
sf2jb;Street Fighter II - The World Warrior (Japan 910214);
spaceinv;Space Invasion;
stratvxb;Stratovox (bootleg);
suprmou2;Funny Mouse (bootleg?);
todruagb;Tower of Druaga (set 2);
toki2;Toki (set 2);
toki3;Toki (set 3);
toobinp;Toobin' (Prototype);
vanvans;Van Van Car (Sanritsu);
vendett2;Vendetta (Asia set 2);
vimana2;Vimana (set 2);
warlord;Warlords;
wbmlj;Wonder Boy in Monster Land (Japan set 1);
wbmlj2;Wonder Boy in Monster Land (Japan set 2);
wbmlju;Wonder Boy in Monster Land (Japan not encrypted);
wboy4;Wonder Boy (set 4);
wboy4u;Wonder Boy (set 4 not encrypted);
abattle;Astro Battle (set 1);a
abattle2;Astro Battle (set 2);a
abscam;Abscam;a
acombat;Astro Combat;a
aerfboot;Aero Fighters (bootleg);a
afire;Astro Fire;a
aliens3;Aliens (World set 3);
aliensj2;Aliens (Japan set 2);
alphamis;Alpha Mission;a
alpinr2b;Alpine Racer 2 (Rev. ARS2 Ver.B);
amidarb;Amidar (Bootleg);a
animaljr;Animalandia Jr.;
astorm3;Alien Storm (set 3, World, 3 Players, FD1094 317-0148);
astormj;Alien Storm (set 1, Japan, 2 Players, FD1094 317-0146);
astormu;Alien Storm (set 2, US, 3 Players, FD1094 317-0147);
astrob2a;Astro Blaster (version 2a);a
aurail1;Aurail (set 2, World, FD1089B 317-0168);
aurailj;Aurail (set 1, Japan, FD1089A 317-0167);
avsph;Alien vs. Predator (Hispanic 940520);
bagnarda;Le Bagnard (set 2);a
batlbubl;Battle Bubble (v2.00);
bestleag;Best League;
bigkong;Big Kong;a
bloxeedu;Bloxeed (US, C System);
cawingr1;Carrier Air Wing (World 901009);
circusc3;Circus Charlie (No level select);a
columnsu;Columns (US, cocktail);
cosmicm2;Cosmic Monsters 2;a
crazyfgt;Crazy Fight;
crush4;Crush Roller (Kural TWT);a
ctrpllrp;Caterpillar Pacman Hack;a
cybotsu;Cyberbots: Fullmetal Madness (US 950424);
darkhors;Dark Horse;
ddsomr2;Dungeons & Dragons: Shadow over Mystara (Euro 960209);
ddtodjr1;Dungeons & Dragons: Tower of Doom (Japan 940113);
ddtodr1;Dungeons & Dragons: Tower of Doom (Euro 940113);
eagle3;Eagle (set 3);a
elim2c;Eliminator (2 Players, cocktail);
elim4p;Eliminator (4 Players, prototype);
eswatj;E-Swat - Cyber Police (set 1, Japan, FD1094 317-0128);
eswatu;E-Swat - Cyber Police (set 2, US, FD1094 317-0129);
fantasyu;Fantasy (US);a
fcrash;Final Crash (World, bootleg);
ffightua;Final Fight (US 900613);
finalbu;Final Blow (US);
forcebrk;Force Break (bootleg);
frogf;Frogger (Falcon bootleg);a
funkyfig;The First Funky Fighter;
ga2u;Golden Axe: The Revenge of Death Adder (US);
griffon;Griffon;a
invader4;Space Invaders Part Four;a
invadrmr;Space Invaders (Model Racing);a
invasion;Invasion;a
jrpacmbl;Jr. Pac-Man (Pengo hardware);a
kinst13;Killer Instinct (v1.3);
