alpinr2b;Alpine Racer 2;
animaljr;Animalandia Jr.;
crazyfgt;Crazy Fight;
darkhors;Dark Horse;
funkyfig;The First Funky Fighter;
merlinmm;Merlins Money Maze;a
mk4;Mortal Kombat 4;
mwalk;Michael Jackson's Moonwalker;
piratetr;Pirate Treasure;
quasar;Quasar;a
sf;Street Fighter;
sfiii;Street Fighter III: New Generation;
sfiii2;Street Fighter III 2nd Impact: Giant Attack;
sfiii3;Street Fighter III 3rd Strike: Fight for the Future;
spacelnc;Space Launcher;a
spidman;Spider-Man: The Videogame;
sqix;Super Qix;a
puckman;PuckMan;a
nmouse;Naughty Mouse;a
pacplus;Pac-Man Plus;a
mspacman;Ms. Pac-Man;a
crush;Crush Roller;a
eyes;Eyes;a
mrtnt;Mr. TNT;a
eggor;Eggor;a
ponpoko;Ponpoko;
lizwiz;Lizard Wizard;a
bwcasino;Boardwalk Casino;a
dremshpr;Dream Shopper;a
vanvan;Van-Van Car;a
alibaba;Ali Baba and 40 Thieves;a
pengo;Pengo;a
jrpacman;Jr. Pac-Man;a
jumpshot;Jump Shot;a
shootbul;Shoot the Bull;a
bigbucks;Big Bucks;a
drivfrcp;Driving Force;a
porky;Porky;a
megadon;Megadon;a
catapult;Catapult;a
suprglob;Super Glob;a
igmo;IGMO;a
dealer;The Dealer;a
galaxian;Galaxian;a
gmgalax;Ghostmuncher Galaxian;a
pisces;Pisces;a
uniwars;UniWar S;a
warofbug;War of the Bugs or Monsterous Manouvers in a Mushroom Maze;a
redufo;Defend the Terra Attack on the Red UFO;a
streakng;Streaking;a
zigzag;Zig Zag;a
jumpbug;Jump Bug;a
levers;Levers;a
azurian;Azurian Attack;a
orbitron;Orbitron;a
mooncrst;Moon Cresta;a
moonqsr;Moon Quasar;a
mshuttle;Moon Shuttle;
moonal2;Moon Alien Part 2;a
skybase;Sky Base;a
checkman;Check Man;a
dingo;Dingo;a
blkhole;Black Hole;a
kingball;King and Balloon;a
scorpnmc;Scorpion;a
4in1;4 Fun in 1;a
ozon1;Ozon I;a
rockclim;Rock Climber;
scramble;Scramble;a
atlantis;Battle of Atlantis;a
theend;The End;a
triplep;Triple Punch;a
mariner;Mariner;a
mars;Mars;a
devilfsh;Devil Fish;a
newsin7;New Sinbad 7;a
mrkougar;Mr. Kougar;a
hotshock;Hot Shocker;a
cavelon;Cavelon;a
sfx;SF-X;
mimonkey;Mighty Monkey;a
scobra;Super Cobra;a
stratgyx;Strategy X;
armorcar;Armored Car;a
moonwar;Moonwar;a
spdcoin;Speed Coin;a
darkplnt;Dark Planet;
tazmania;Tazz-Mania;a
calipso;Calipso;a
anteater;Anteater;a
rescue;Rescue;a
minefld;Minefield;a
losttomb;Lost Tomb;a
superbon;Super Bond;a
hustler;Video Hustler;a
frogger;Frogger;a
amidar;Amidar;a
turtles;Turtles;a
flyboy;Fly-Boy;a
jumpcoas;Jump Coaster;a
boggy84;Boggy '84;a
redrobin;Red Robin;a
imago;Imago;a
cclimber;Crazy Climber;
ckong;Crazy Kong;a
rpatrolb;River Patrol;
yamato;Yamato;a
swimmer;Swimmer;
guzzler;Guzzler;a
cannonb;Cannon Ball;a
gomoku;Gomoku Narabe Renju;a
wiping;Wiping;a
friskyt;Frisky Tom;
radrad;Radical Radial;
seicross;Seicross;a
firebatl;Fire Battle;a
clshroad;Clash-Road;
tubep;Tube Panic;
rjammer;Roller Jammer;
magmax;Mag Max;
cop01;Cop 01;
mightguy;Mighty Guy;a
terracre;Terra Cresta;a
amazon;Soldier Girl Amazon;a
horekid;Kid no Hore Hore Daisakusen;a
galivan;Galivan - Cosmo Police;a
dangar;Dangar - Ufo Robo;a
ninjemak;Ninja Emaki;a
legion;Legion;a
terraf;Terra Force;
kodure;Kodure Ookami;
armedf;Armed Formation;a
cclimbr2;Crazy Climber 2;
hyhoo;Taisen Quiz HYHOO;a
hyhoo2;Taisen Quiz HYHOO 2;a
pastelgl;Pastel Gal;
crystalg;Crystal Gal;
crystal2;Crystal Gal 2;
citylove;City Love;
apparel;Apparel Night;
secolove;Second Love;
housemnq;House Mannequin;
housemn2;House Mannequin Roppongi Live hen;
seiha;Seiha;
bijokkoy;Bijokko Yume Monogatari;
iemoto;Iemoto;
ojousan;Ojousan;
bijokkog;Bijokko Gakuen;
orangec;Orange Club - Maruhi Kagai Jugyou;
korinai;Mahjong-zukino Korinai Menmen;
kaguya;Mahjong Kaguyahime ;
otonano;Otona no Mahjong;
kanatuen;Kanatsuen no Onna ;
mjsikaku;Mahjong Shikaku;
mjcamera;Mahjong Camera Kozou;
idhimitu;Idol no Himitsu ;
msjiken;Mahjong Satsujin Jiken;a
hanamomo;Mahjong Hana no Momoko gumi;
telmahjn;Telephone Mahjong;a
gionbana;Gionbana;
mjfocus;Mahjong Focus;
scandal;Scandal Mahjong;
mgmen89;Mahjong G-MEN'89;
mjnanpas;Mahjong Nanpa Story;
pairsten;Pairs;
bananadr;Mahjong Banana Dream ;
mladyhtr;Mahjong THE LADY HUNTER;
chinmoku;Mahjong Chinmoku no Hentai;
maiko;Maikobana;
club90s;Mahjong CLUB 90's;
hanaoji;Hana to Ojisan ;
pstadium;Mahjong Panic Stadium;
triplew1;Mahjong Triple Wars;
triplew2;Mahjong Triple Wars 2;
ntopstar;Mahjong Nerae! Top Star;
mjlstory;Mahjong Jikken Love Story;
vanilla;Mahjong Vanilla Syndrome;
qmhayaku;Quiz-Mahjong Hayaku Yatteyo!;
galkoku;Mahjong Gal no Kokuhaku;
galkaika;Mahjong Gal no Kaika;
tokyogal;Tokyo Gal Zukan;
mcontest;Miss Mahjong Contest;
uchuuai;Mahjong Uchuu yori Ai wo komete;
av2mj1bb;AV2Mahjong No.1 Bay Bridge no Seijo;
av2mj2rg;AV2Mahjong No.2 Rouge no Kaori;
mjuraden;Mahjong Uranai Densetsu;
koinomp;Mahjong Koi no Magic Potion;
patimono;Mahjong Pachinko Monogatari;
mjanbari;Medal Mahjong Janjan Baribari ;
ultramhm;Ultra Maru-hi Mahjong;
gal10ren;Mahjong Gal 10-renpatsu;
renaiclb;Mahjong Ren-ai Club;
mjlaman;Mahjong La Man;
mkeibaou;Mahjong Keibaou;
pachiten;Medal Mahjong Pachi-Slot Tengoku ;
sailorws;Mahjong Sailor Wars;
psailor1;Bishoujo Janshi Pretty Sailor 18-kin;
psailor2;Bishoujo Janshi Pretty Sailor 2;
otatidai;Disco Mahjong Otachidai no Okite;
ngpgal;Nekketsu Grand-Prix Gal;
mjgottsu;Mahjong Gottsu ee-kanji;
cmehyou;Mahjong Circuit no Mehyou;
mmehyou;Medal Mahjong Circuit no Mehyou ;
mjkoiura;Mahjong Koi Uranai;
imekura;Imekura Mahjong;
mscoutm;Mahjong Scout Man;
mjegolf;Mahjong Erotica Golf;
niyanpai;Niyanpai;
safarir;Safari Rally;a
phoenix;Phoenix;a
pleiads;Pleiads;a
survival;Survival;a
naughtyb;Naughty Boy;a
popflame;Pop Flamer;a
geebee;Gee Bee;a
bombbee;Bomb Bee;a
cutieq;Cutie Q;a
navalone;Navarone;a
kaitei;Kaitei Takara Sagashi;a
sos;SOS;a
tankbatt;Tank Battalion;a
warpwarp;Warp and Warp;a
rallyx;Rally X;
nrallyx;New Rally X;
jungler;Jungler;a
tactcian;Tactician;a
locomotn;Loco-Motion;a
commsega;Commando;a
bosco;Bosconian;
galaga;Galaga;a
digdug;Dig Dug;a
xevious;Xevious;a
superpac;Super Pac-Man;a
pacnpal;Pac & Pal;a
phozon;Phozon;a
mappy;Mappy;a
digdug2;Dig Dug II;a
todruaga;Tower of Druaga;a
motos;Motos;a
grobda;Grobda;a
gaplus;Gaplus;a
liblrabl;Libble Rabble;
toypop;Toypop;
polepos;Pole Position;
polepos2;Pole Position II;
pacland;Pac-Land;
drgnbstr;Dragon Buster;
skykid;Sky Kid;
baraduke;Baraduke;
metrocrs;Metro-Cross;
hopmappy;Hopping Mappy;
skykiddx;Sky Kid Deluxe;
roishtar;The Return of Ishtar;
genpeitd;Genpei ToumaDen;
