alpinr2b;Alpine Racer 2;a
animaljr;Animalandia Jr.;a
crazyfgt;Crazy Fight;a
darkhors;Dark Horse;a
funkyfig;The First Funky Fighter;a
merlinmm;Merlins Money Maze;a
mk4;Mortal Kombat 4;a
mwalk;Michael Jackson's Moonwalker;a
piratetr;Pirate Treasure;a
quasar;Quasar;a
sf;Street Fighter;a
sfiii;Street Fighter III: New Generation;a
sfiii2;Street Fighter III 2nd Impact: Giant Attack;a
sfiii3;Street Fighter III 3rd Strike: Fight for the Future;a
spacelnc;Space Launcher;a
spidman;Spider-Man: The Videogame;a
sqix;Super Qix;a
puckman;PuckMan;a
nmouse;Naughty Mouse;a
pacplus;Pac-Man Plus;a
mspacman;Ms. Pac-Man;a
crush;Crush Roller;a
eyes;Eyes;a
mrtnt;Mr. TNT;a
eggor;Eggor;a
ponpoko;Ponpoko;a
lizwiz;Lizard Wizard;a
bwcasino;Boardwalk Casino;a
dremshpr;Dream Shopper;a
vanvan;Van-Van Car;a
alibaba;Ali Baba and 40 Thieves;a
pengo;Pengo;a
jrpacman;Jr. Pac-Man;a
jumpshot;Jump Shot;a
shootbul;Shoot the Bull;a
bigbucks;Big Bucks;a
drivfrcp;Driving Force;a
porky;Porky;a
megadon;Megadon;a
catapult;Catapult;a
suprglob;Super Glob;a
igmo;IGMO;a
dealer;The Dealer;a
galaxian;Galaxian;a
gmgalax;Ghostmuncher Galaxian;a
pisces;Pisces;a
uniwars;UniWar S;a
warofbug;War of the Bugs or Monsterous Manouvers in a Mushroom Maze;a
redufo;Defend the Terra Attack on the Red UFO;a
streakng;Streaking;a
zigzag;Zig Zag;a
jumpbug;Jump Bug;a
levers;Levers;a
azurian;Azurian Attack;a
orbitron;Orbitron;a
mooncrst;Moon Cresta;a
moonqsr;Moon Quasar;a
mshuttle;Moon Shuttle;a
moonal2;Moon Alien Part 2;a
skybase;Sky Base;a
checkman;Check Man;a
dingo;Dingo;a
blkhole;Black Hole;a
kingball;King and Balloon;a
scorpnmc;Scorpion;a
4in1;4 Fun in 1;a
ozon1;Ozon I;a
rockclim;Rock Climber;a
scramble;Scramble;a
atlantis;Battle of Atlantis;a
